,Power (hp),Engine cylinder,Bore (mm),Stroke (mm),Cooling system,Transmission type
35,14.8,Single cylinder,57.0,48.6,Liquid,Belt
36,13.0,Single cylinder,48.8,57.0,Liquid,Belt
37,13.0,Single cylinder,48.8,57.0,Liquid,Belt
38,15.8,Single cylinder,61.0,58.0,Liquid,Belt
49,13.0,Single cylinder,48.8,57.0,Liquid,Belt
50,15.8,Single cylinder,61.0,58.0,Liquid,Belt
63,18.0,Twin,54.0,54.0,Air,Chain
64,18.0,Twin,54.0,54.0,Air,Chain
72,11.0,Twin,48.0,54.0,Air,Chain
73,11.0,Twin,48.0,54.0,Air,Chain
74,11.0,Twin,48.0,54.0,Air,Chain
75,16.0,Twin,54.0,54.0,Air,Chain
78,16.0,Twin,54.0,54.0,Air,Chain
79,16.0,Twin,54.0,54.0,Air,Chain
80,16.0,Twin,54.0,54.0,Air,Chain
81,16.0,Twin,54.0,54.0,Air,Chain
86,16.0,Twin,54.0,54.0,Air,Chain
87,16.0,Twin,54.0,54.0,Air,Chain
88,16.0,Twin,54.0,54.0,Air,Chain
89,16.0,Twin,54.0,54.0,Air,Chain
126,8.6,Single cylinder,52.4,57.8,Air,Belt
146,3.7,Single cylinder,40.0,39.2,Air,Belt
154,8.6,Single cylinder,52.4,57.8,Air,Belt
156,3.7,Single cylinder,40.0,39.2,Air,Belt
160,6.8,Single cylinder,52.4,57.8,Air,Belt
161,3.7,Single cylinder,40.0,39.2,Air,Belt
169,25.0,Single cylinder,82.0,65.5,Liquid,Chain
170,27.0,Single cylinder,82.0,65.5,Liquid,Chain
171,30.0,Single cylinder,82.0,65.5,Liquid,Chain
181,8.7,Single cylinder,61.0,57.8,Liquid,Chain
182,6.4,Single cylinder,52.0,45.0,Air,Chain
184,12.1,Single cylinder,65.0,59.0,Air,Chain
185,12.1,Single cylinder,65.0,59.0,Air,Chain
187,19.4,Single cylinder,72.7,65.6,Liquid,Chain
188,16.1,Single cylinder,72.7,65.6,Liquid,Chain
191,20.1,Single cylinder,82.0,65.6,Liquid,Chain
192,20.1,Single cylinder,82.0,65.6,Liquid,Belt
193,3.6,Single cylinder,40.0,39.2,Air,Shaft drive
194,3.6,Single cylinder,40.0,39.2,Air,Shaft drive
195,3.0,Single cylinder,40.0,39.2,Air,Shaft drive
197,20.1,Single cylinder,82.0,65.6,Liquid,Belt
198,20.1,Single cylinder,82.0,65.6,Liquid,Belt
199,18.1,Single cylinder,72.7,65.6,Liquid,Shaft drive
200,18.1,Single cylinder,72.7,65.6,Liquid,Shaft drive
201,20.1,Single cylinder,92.0,85.0,Liquid,Shaft drive
